timestamp,step,phase,cpu_util_percent,gpu_util_percent,gpu_mem_mb,gpu_power_w,host_mem_mb,disk_read_mb_s,disk_write_mb_s
2026-04-21T02:01:22.975+00:00,230,idle,101.043,100.000,895.803,298.520,1200.285,0.000,0.000
2026-04-21T02:01:23.105+00:00,239,forward,98.564,100.000,1585.012,298.660,1200.223,0.000,0.000
2026-04-21T02:01:23.236+00:00,240,idle,99.918,100.000,398.057,299.200,1200.285,0.000,0.000
2026-04-21T02:01:23.365+00:00,250,forward,98.951,100.000,145.519,299.190,1200.223,0.000,0.000
2026-04-21T02:01:23.496+00:00,250,forward,100.585,100.000,146.269,299.120,1200.223,0.000,0.000
2026-04-21T02:01:23.625+00:00,250,forward,99.327,94.000,146.269,298.150,1200.223,0.000,0.000
2026-04-21T02:01:23.754+00:00,250,forward,108.663,87.000,146.269,298.200,1200.223,0.000,0.000
2026-04-21T02:01:23.883+00:00,250,forward,100.869,87.000,145.519,298.100,1200.285,0.000,15.579
2026-04-21T02:01:24.014+00:00,250,forward,101.135,87.000,146.269,298.220,1200.285,0.000,73.572
2026-04-21T02:01:24.142+00:00,250,forward,106.984,87.000,145.644,298.550,1200.285,0.000,0.000
2026-04-21T02:01:24.276+00:00,250,forward,93.310,87.000,146.269,298.470,1200.223,0.000,0.000
2026-04-21T02:01:24.406+00:00,250,dataloader,104.658,87.000,146.269,298.310,1201.227,0.000,0.000
2026-04-21T02:01:24.536+00:00,250,dataloader,100.125,87.000,146.269,297.580,1201.223,0.000,0.000
2026-04-21T02:01:24.664+00:00,250,dataloader,99.934,87.000,146.269,298.400,1201.285,0.000,0.000
2026-04-21T02:01:24.793+00:00,250,forward,93.279,87.000,146.269,298.040,1200.285,0.000,0.000
2026-04-21T02:01:24.921+00:00,250,forward,109.186,87.000,146.269,298.100,1200.285,0.000,0.000
2026-04-21T02:01:25.053+00:00,250,forward,100.879,87.000,146.269,298.440,1200.285,0.000,0.000
2026-04-21T02:01:25.183+00:00,250,forward,98.640,88.000,146.269,298.500,1200.223,0.000,1.186
2026-04-21T02:01:25.313+00:00,250,forward,100.416,88.000,146.269,298.630,1200.223,0.000,0.000
2026-04-21T02:01:25.442+00:00,250,forward,99.707,88.000,195.113,298.440,1200.223,0.000,0.000
